2511,白銀之城的狂時計【拉比林斯】,此卡名的①②效果1回合各僅能使用1次。\n①：把此卡從手牌捨棄才能發動。此回合，我方場上有「拉比林斯」怪獸存在的場合，我方可以把1張通常陷阱卡在覆蓋的回合發動。此效果在對方回合也能發動。\n②：此卡於墓地存在，為讓此卡名以外「拉比林斯」卡效果或通常陷阱卡發動而讓手牌之卡被送去墓地的場合才能發動。此卡加入手牌或特殊召喚。
10000,萬物創世龍,此卡不能通常召喚。\n把攻擊力合計和守備力合計總和直到10000以上之我方場上怪獸解放的場合才能特殊召喚。\n①：以此方法特殊召喚的此卡攻擊力‧守備力變成10000。
27551,限制再生,①：從我方墓地選澤1體攻擊力1000以下的怪獸，以攻擊表示特殊召喚。該怪獸變為守備表示時，該怪獸與此卡破壞。此卡從場上離開的場合，該怪獸破壞。該怪獸破壞時此卡破壞。
32864,第13位埋葬者,從無人的13號墳墓突然出現的殭屍。
35699,SPYRAL－龍捲風,此卡不能通常召喚。\n將我方墓地3張「SPYRAL」卡片除外的場合才能從手牌特殊召喚。\n①：1回合1次，以我方場上1張「SPYRAL」卡和對方場上最多2張卡為對象才能發動。那些卡破壞。此效果在對方回合也能發動。\n②：場上的此卡被戰鬥‧效果破壞送去墓地的場合發動。我方場上的卡全部破壞，從我方手牌‧牌組‧墓地選擇1體「SPYRAL－花花公子」特殊召喚。
39015,爆裂狙擊手,此卡名的①②效果1回合各僅能使用1次。\n①：把此卡解放才能發動。從手牌‧牌組把此卡名以外1體有「爆裂模式」的卡名記述怪獸特殊召喚。此效果發動過的回合，我方從額外牌組僅能特殊召喚同步怪獸。\n②：以我方場上1體表側表示怪獸為對象才能發動。把額外牌組1體同步怪獸給對方觀看，作為對象的怪獸種族‧屬性直到回合結束時，變成給和人觀看的怪獸相同。
41546,DD　魔導賢者　湯瑪士,此卡名的①靈擺效果1回合僅能使用1次。\n①：我方主要階段才能發動。從我方額外牌組選擇1體表側表示「DD」靈擺怪獸加入手牌。\n【怪獸效果】\n此卡名的①怪獸效果1回合僅能使用1次。\n①：以我方靈擺區域的1張「DD」卡片為對象才能發動。該卡破壞，從牌組將1體等級8的「DD」怪獸以守備表示特殊召喚。因此效果特殊召喚的怪獸效果無效化，此回合對方受到的戰鬥傷害變為一半。　
41777,寶石強化,①：將我方場上存在的1體「寶石騎士」怪獸解放，選擇我方墓地存在的1體「寶石騎士」怪獸來發動。選擇的怪獸從墓地特殊召喚。
43227,後援魔投手‧馬格努姆,從額外牌組特殊召喚的怪獸＋手牌的怪獸\n此卡名的①②效果1回合各僅能使用1次。\n①：以我方墓地1張「融和」魔法卡或「結合」魔法卡為對象才能發動。該卡回到牌組最下方。那之後，我方從牌組抽1張。\n②：其他卡的效果發動時，從我方墓地把1張「融和」魔法卡或「結合」魔法卡除外，以場上1張卡為對象才能發動。該卡破壞。
44818,聖夜騎‧奧比泰爾,此卡名的①②效果1回合各僅能使用1次。\n①：以我方場上1體光屬性怪獸為對象才能發動。該怪獸解放，從牌選擇1張「聖夜騎」魔法‧陷阱卡在我方場上覆蓋。此效果在對方回合也能發動。\n②：此卡於墓地存在，我方場上表側表示龍族‧光屬性‧等級7回到手牌的場合才能發動。此卡特殊召喚。
50755,魔法師之圓,①：我方或對方的魔法使族怪獸進行攻擊宣言時才能發動。雙方各自從自身的牌組將1體攻擊力2000以下的魔法使族以攻擊表示特殊召喚。
56889,競鬥－交叉次元,①：以我方場上1體「古代的機械」怪獸為對象才能發動。該怪獸除外。此效果除外的怪獸在下次的準備階段回到場上，該攻擊力直到該回合結束時變為原攻擊力的2倍。\n②：我方場上的「古代的機械巨人」或「古代的機械巨人－究極重拳」被戰鬥‧效果破壞的場合，可以作為代替把墓地的此卡除外。
62121,闇晦之城,①：此卡反轉的場合發動，場上表側存在的不死族怪獸攻擊力與守備力上升200。\n②：此卡以表側表示存在場上時‧每次我方的準備階段發動，還可再上升200。\n此效果只持續到我方第4回合的準備階段。
96540,強拍,此卡名的卡1回合僅能發動1張。\n①：把我方場上1體表側表示怪獸解放才能發動。和解放的怪獸原種族‧屬性相同而原等級低1等級的1體怪獸從牌組特殊召喚。
98905,光波分光,①：我方場上擁有超量素材的「光波」超量怪獸被戰鬥或對方的卡片效果破壞並送入我方墓地的場合，以該其中1體怪獸為對象才能發動。從墓地將那體怪獸特殊召喚，從額外牌組將1體那體怪獸的同名超量怪獸特殊召喚。
102380,溶岩魔神　岩漿石魔,此卡不能通常召喚。\n解放對方場上的2體怪獸才能從手牌特殊召喚到對方場上。特殊召喚此卡的回合，我方不能通常召喚。\n①：每次我方的準備階段，我方受到1000傷害。
109401,闇次元的戰士,協調＋協調以外怪獸一體以上\n此卡名的①②效果1回合各僅能使用1次。\n①：把1張手牌除外，以除外的1體闇屬性怪獸為對象才能發動。該怪獸表側守備表示或裡側守備表示特殊召喚。\n②：我方‧對方的結束階段發動。給予對方生命值為對方場上覆蓋的卡數量×100傷害。
111280,黑‧魔‧導‧強‧化,①：依據雙方場上‧墓地的「黑魔術士」以及「黑魔術士女孩」的數量適用以下效果。\n●1體以上：選擇場上1體魔法使族‧闇屬性怪獸到回合結束以前攻擊力上升1000。\n●2體以上：此回合對方不能對應我方的魔法‧陷阱卡的效果發動將魔法‧陷阱‧怪獸效果發動，我方場上所有魔法‧陷阱卡不會被對方的卡片效果破壞。\n●3體以上：到回合結束以前我方場上所有魔法使族‧闇屬性怪獸不受對方的卡片效果影響。
114932,粉碎劍士,①：將我方場上表側存在的永續魔法或永續陷阱1張送入墓地才能發動。給予對方500傷害。此效果1回合可以使用2次。
122520,EM天空徒弟,此卡名的①效果1回合僅能使用1次。\n①：可以從我方場上選擇1體等級5以上的「EM」怪獸回到持有者手牌發動。從手牌將此卡特殊召喚。此效果也可以在對方回合發動\n②：此卡和對方怪獸進行戰鬥的場合，到傷害步驟結束以前該怪獸的效果無效化。\n③：我方場上有其他「EM」怪獸存在的場合，此卡向對方怪獸進行攻擊的傷害計算以前可以發動。該對方怪獸破壞。
